,trade_date,涨停比率,跌停比率,地天板比率,天地板比率,天地板比率剪刀差,涨跌停比率剪刀差,连板比率剪刀差,自由流通市值加权涨跌停比率剪刀差,自由流通市值加权连板比率剪刀差,自由流通市值加权地天与天地板比率剪刀差,pct_chg
0,20210104,0.043333333333333335,0,0,0,0,0.043333333333333335,0,0.040235999999999994,0,0,1.0828
1,20210105,0.05,0,0,0,0,0.05,0,0.045957000000000005,0,0,1.9133
2,20210106,0.01,0,0,0,0,0.01,0.0033333333333333335,0.004536999999999999,0.000766,0,0.9158
3,20210107,0.023333333333333334,0.0033333333333333335,0,0,0,0.02,0.0033333333333333335,0.012452000000000001,0.000766,0,1.7718
4,20210108,0.023333333333333334,0,0,0,0,0.023333333333333334,0.0033333333333333335,0.011756,0.000766,0,-0.3306
5,20210111,0.006666666666666667,0.0033333333333333335,0,0,0,0.0033333333333333335,0,0.002792,0,0,-0.9876
6,20210112,0.023333333333333334,0,0,0,0,0.023333333333333334,0,0.027575000000000002,0,0,2.8522
7,20210113,0.013333333333333334,0.0033333333333333335,0,0,0,0.01,0,0.0046370000000000005,0,0,-0.3285
8,20210114,0.006666666666666667,0.03333333333333333,0,0,0,-0.026666666666666665,0.0033333333333333335,-0.015931,0.003239,0,-1.9275
9,20210115,0.006666666666666667,0.006666666666666667,0,0,0,0.0,0,-0.003582,0,0,-0.2262
10,20210118,0.013333333333333334,0,0,0,0,0.013333333333333334,0,0.010050999999999997,0,0,1.1073
11,20210119,0.0033333333333333335,0.01,0,0,0,-0.006666666666666666,0,-0.008676999999999997,0,0,-1.4677
12,20210120,0.02,0,0,0,0,0.02,0,0.01388,0,0,0.7156
13,20210121,0.013333333333333334,0,0,0,0,0.013333333333333334,0.0033333333333333335,0.007428,0.001479,0,1.6167
14,20210122,0.016666666666666666,0,0,0,0,0.016666666666666666,0,0.017043,0,0,0.0864
15,20210125,0.013333333333333334,0,0,0,0,0.013333333333333334,0,0.020363,0,0,1.0081
16,20210126,0.01,0.013333333333333334,0,0,0,-0.003333333333333334,0,-0.0067,0,0,-2.0078
17,20210127,0.013333333333333334,0,0,0,0,0.013333333333333334,0.0033333333333333335,0.011436000000000002,0.001929,0,0.2727
18,20210128,0.0033333333333333335,0.013333333333333334,0,0,0,-0.01,0.0033333333333333335,-0.011095999999999998,0.000826,0,-2.729
19,20210129,0.006666666666666667,0.0033333333333333335,0,0,0,0.0033333333333333335,0.0033333333333333335,0.001533,0.000826,0,-0.4682
20,20210201,0.016666666666666666,0.0033333333333333335,0,0,0,0.013333333333333332,0,0.005275000000000002,0,0,1.2273
21,20210202,0.02,0.0033333333333333335,0,0,0,0.016666666666666666,0,0.011647999999999999,0,0,1.5402
22,20210203,0.01,0.0033333333333333335,0,0,0,0.006666666666666666,0,0.008827000000000002,0,0,-0.2889
23,20210204,0.0033333333333333335,0.013333333333333334,0,0,0,-0.01,0,-0.004659000000000001,0,0,-0.2052
24,20210205,0.006666666666666667,0.016666666666666666,0,0,0,-0.009999999999999998,0,-0.013984,0,0,0.1729
25,20210208,0.023333333333333334,0.006666666666666667,0,0,0,0.016666666666666666,0,0.019733,0,0,1.4799
26,20210209,0.030000000000000002,0,0,0,0,0.030000000000000002,0,0.018555000000000002,0,0,2.1868
27,20210210,0.030000000000000002,0,0,0,0,0.030000000000000002,0.0033333333333333335,0.033687,0.004129,0,2.1362
28,20210218,0.030000000000000002,0.006666666666666667,0,0,0,0.023333333333333334,0.0033333333333333335,0.011653,0.000882,0,-0.6773
29,20210219,0.02666666666666667,0.0033333333333333335,0,0,0,0.023333333333333334,0.006666666666666667,0.012078999999999998,0.002859,0,0.1813
30,20210222,0.02,0.02,0,0,0,0.0,0.0,-0.006480000000000003,0.000276,0,-3.1409
31,20210223,0.01,0,0,0,0,0.01,0.0033333333333333335,0.006549,0.001263,0,-0.3156
32,20210224,0,0.02666666666666667,0,0,0,-0.02666666666666667,0,-0.032908,0,0,-2.5467
33,20210225,0.013333333333333334,0,0,0,0,0.013333333333333334,0,0.013034,0,0,0.5883
34,20210226,0,0,0,0,0,0,0,0,0,0,-2.4279
35,20210301,0.013333333333333334,0,0,0,0,0.013333333333333334,0,0.005445,0,0,1.5369
36,20210302,0,0.006666666666666667,0,0,0,-0.006666666666666667,0,-0.0035050000000000003,0,0,-1.2762
37,20210303,0.013333333333333334,0,0,0,0,0.013333333333333334,0,0.010145,0,0,1.9176
38,20210304,0.0033333333333333335,0.023333333333333334,0,0,0,-0.02,0.0033333333333333335,-0.024902999999999998,0.001263,0,-3.1456
39,20210305,0.0033333333333333335,0.0033333333333333335,0,0,0,0.0,-0.0033333333333333335,-0.001638,-0.003188,0,-0.3392
40,20210308,0,0.043333333333333335,0,0,0,-0.043333333333333335,0,-0.067381,0,0,-3.4729
41,20210309,0,0.013333333333333334,0,0,0,-0.013333333333333334,-0.006666666666666667,-0.012489999999999998,-0.005273999999999999,0,-2.1462
42,20210310,0.01,0.0033333333333333335,0,0,0,0.006666666666666666,0,0.012448,0,0,0.6561
43,20210311,0.016666666666666666,0,0,0,0,0.016666666666666666,0,0.010607,0,0,2.4903
44,20210312,0.006666666666666667,0.0033333333333333335,0,0,0,0.0033333333333333335,0.0033333333333333335,4.200000000000037e-05,0.00039600000000000003,0,0.3542
45,20210315,0.0033333333333333335,0.01,0,0,0,-0.006666666666666666,0,-0.016175000000000002,0,0,-2.1536
46,20210316,0,0.0033333333333333335,0,0,0,-0.0033333333333333335,0,-0.003402,0,0,0.8702
