,index_code,con_code,trade_date,weight,prev,pct_chg
100,399300.SZ,601628.SH,20231130,0.29,-0.8048,-0.8048
101,399300.SZ,002049.SZ,20231130,0.286,0.7318,0.7318
102,399300.SZ,601658.SH,20231130,0.283,0.0,0.0
103,399300.SZ,600893.SH,20231130,0.278,1.4658,1.4658
104,399300.SZ,688008.SH,20231130,0.272,2.4943,2.4943
105,399300.SZ,600760.SH,20231130,0.269,0.1662,0.1662
106,399300.SZ,000938.SZ,20231130,0.268,0.6764,0.6764
107,399300.SZ,600570.SH,20231130,0.265,0.665,0.665
108,399300.SZ,600958.SH,20231130,0.264,0.8111,0.8111
109,399300.SZ,601989.SH,20231130,0.263,1.7241,1.7241
110,399300.SZ,600009.SH,20231130,0.259,-0.2131,-0.2131
111,399300.SZ,600426.SH,20231130,0.258,0.62,0.62
112,399300.SZ,601600.SH,20231130,0.255,1.0753,1.0753
113,399300.SZ,002460.SZ,20231130,0.255,1.0149,1.0149
114,399300.SZ,603799.SH,20231130,0.253,0.5496,0.5496
115,399300.SZ,002271.SZ,20231130,0.252,-0.3115,-0.3115
116,399300.SZ,603019.SH,20231130,0.252,1.5428,1.5428
117,399300.SZ,600584.SH,20231130,0.252,2.1204,2.1204
118,399300.SZ,601006.SH,20231130,0.251,0.0,0.0
119,399300.SZ,002241.SZ,20231130,0.25,10.0,10.0
120,399300.SZ,601939.SH,20231130,0.249,0.463,0.463
121,399300.SZ,000776.SZ,20231130,0.248,0.2104,0.2104
122,399300.SZ,000596.SZ,20231130,0.245,-0.8391,-0.8391
123,399300.SZ,600745.SH,20231130,0.244,1.0992,1.0992
124,399300.SZ,601377.SH,20231130,0.244,0.1706,0.1706
125,399300.SZ,600547.SH,20231130,0.243,-1.4224,-1.4224
126,399300.SZ,000166.SZ,20231130,0.236,-0.4484,-0.4484
127,399300.SZ,300142.SZ,20231130,0.231,3.2046,3.2046
128,399300.SZ,300408.SZ,20231130,0.228,1.7974,1.7974
129,399300.SZ,001979.SZ,20231130,0.219,0.3158,0.3158
130,399300.SZ,002252.SZ,20231130,0.218,0.6289,0.6289
131,399300.SZ,601009.SH,20231130,0.217,-0.6729,-0.6729
132,399300.SZ,600886.SH,20231130,0.215,0.5339,0.5339
133,399300.SZ,600015.SH,20231130,0.214,-0.8818,-0.8818
134,399300.SZ,603993.SH,20231130,0.214,0.7752,0.7752
135,399300.SZ,002311.SZ,20231130,0.213,0.8081,0.8081
136,399300.SZ,600085.SH,20231130,0.212,1.0348,1.0348
137,399300.SZ,000977.SZ,20231130,0.211,0.8505,0.8505
138,399300.SZ,000538.SZ,20231130,0.21,0.3471,0.3471
139,399300.SZ,002920.SZ,20231130,0.209,1.8881,1.8881
140,399300.SZ,000963.SZ,20231130,0.208,3.5982,3.5982
141,399300.SZ,688036.SH,20231130,0.207,3.7715,3.7715
142,399300.SZ,601995.SH,20231130,0.207,0.6348,0.6348
143,399300.SZ,601901.SH,20231130,0.207,1.6393,1.6393
144,399300.SZ,600196.SH,20231130,0.206,0.3609,0.3609
145,399300.SZ,600795.SH,20231130,0.204,-0.4785,-0.4785
146,399300.SZ,601186.SH,20231130,0.203,-0.2621,-0.2621
147,399300.SZ,600010.SH,20231130,0.202,0.0,0.0
148,399300.SZ,002555.SZ,20231130,0.2,3.5793,3.5793
149,399300.SZ,601669.SH,20231130,0.2,0.6173,0.6173
150,399300.SZ,600588.SH,20231130,0.2,1.7735,1.7735
151,399300.SZ,002812.SZ,20231130,0.2,-0.0176,-0.0176
152,399300.SZ,002821.SZ,20231130,0.2,-0.4971,-0.4971
153,399300.SZ,600011.SH,20231130,0.197,-1.5345,-1.5345
154,399300.SZ,603369.SH,20231130,0.196,0.8899,0.8899
155,399300.SZ,601066.SH,20231130,0.194,1.1111,1.1111
156,399300.SZ,601633.SH,20231130,0.193,-0.0396,-0.0396
157,399300.SZ,600029.SH,20231130,0.192,-1.0309,-1.0309
158,399300.SZ,300896.SZ,20231130,0.191,-2.4784,-2.4784
159,399300.SZ,002459.SZ,20231130,0.191,0.2419,0.2419
160,399300.SZ,002493.SZ,20231130,0.19,0.1936,0.1936
161,399300.SZ,601689.SH,20231130,0.189,1.8006,1.8006
162,399300.SZ,300347.SZ,20231130,0.189,-1.1331,-1.1331
163,399300.SZ,600989.SH,20231130,0.187,1.7919,1.7919
164,399300.SZ,002236.SZ,20231130,0.187,1.318,1.318
165,399300.SZ,000157.SZ,20231130,0.186,-0.6088,-0.6088
166,399300.SZ,600674.SH,20231130,0.185,0.2653,0.2653
167,399300.SZ,601788.SH,20231130,0.184,0.1299,0.1299
168,399300.SZ,002001.SZ,20231130,0.183,-0.7026,-0.7026
169,399300.SZ,601360.SH,20231130,0.18,0.2225,0.2225
170,399300.SZ,000768.SZ,20231130,0.177,0.6751,0.6751
171,399300.SZ,300033.SZ,20231130,0.175,0.0574,0.0574
172,399300.SZ,600845.SH,20231130,0.175,0.7432,0.7432
173,399300.SZ,601100.SH,20231130,0.175,5.0125,5.0125
174,399300.SZ,300759.SZ,20231130,0.173,-0.1378,-0.1378
175,399300.SZ,600346.SH,20231130,0.172,0.9969,0.9969
176,399300.SZ,600926.SH,20231130,0.171,0.1,0.1
177,399300.SZ,688599.SH,20231130,0.17,-1.9588,-1.9588
178,399300.SZ,300661.SZ,20231130,0.17,2.3339,2.3339
179,399300.SZ,600115.SH,20231130,0.167,-0.2571,-0.2571
180,399300.SZ,300450.SZ,20231130,0.166,0.2742,0.2742
181,399300.SZ,300316.SZ,20231130,0.164,-1.2542,-1.2542
182,399300.SZ,600188.SH,20231130,0.164,-0.95,-0.95
183,399300.SZ,601111.SH,20231130,0.164,-0.6766,-0.6766
184,399300.SZ,002709.SZ,20231130,0.162,0.7634,0.7634
185,399300.SZ,601868.SH,20231130,0.16,0.0,0.0
186,399300.SZ,002736.SZ,20231130,0.159,-0.117,-0.117
187,399300.SZ,002180.SZ,20231130,0.159,-0.9628,-0.9628
188,399300.SZ,600741.SH,20231130,0.159,0.6803,0.6803
189,399300.SZ,601800.SH,20231130,0.159,-0.6536,-0.6536
190,399300.SZ,000895.SZ,20231130,0.157,0.0375,0.0375
191,399300.SZ,002648.SZ,20231130,0.156,0.2719,0.2719
192,399300.SZ,000301.SZ,20231130,0.155,-0.4149,-0.4149
193,399300.SZ,600176.SH,20231130,0.154,-0.5061,-0.5061
194,399300.SZ,002007.SZ,20231130,0.154,0.4995,0.4995
195,399300.SZ,600600.SH,20231130,0.153,-0.7699,-0.7699
196,399300.SZ,601699.SH,20231130,0.152,1.0609,1.0609
197,399300.SZ,000425.SZ,20231130,0.152,1.2987,1.2987
198,399300.SZ,002410.SZ,20231130,0.151,-0.7528,-0.7528
199,399300.SZ,300433.SZ,20231130,0.151,3.2056,3.2056
200,399300.SZ,601336.SH,20231130,0.151,0.0965,0.0965
201,399300.SZ,601881.SH,20231130,0.149,-0.2483,-0.2483
202,399300.SZ,300496.SZ,20231130,0.149,1.5346,1.5346
203,399300.SZ,601838.SH,20231130,0.147,-0.1773,-0.1773
