,trade_date,涨停比率,跌停比率,地天板比率,天地板比率,天地板比率剪刀差,涨跌停比率剪刀差,连板比率剪刀差,自由流通市值加权涨跌停比率剪刀差,自由流通市值加权连板比率剪刀差,自由流通市值加权地天与天地板比率剪刀差,pct_chg
60,20230404,0.01,0,0,0,0,0.01,0.0033333333333333335,0.007001,0.001224,0,0.3065
61,20230406,0,0,0,0,0,0,0,0,0,0,-0.1576
62,20230407,0.006666666666666667,0,0,0,0,0.006666666666666667,0,0.006914,0,0,0.6503
63,20230410,0.0033333333333333335,0.02,0,0,0,-0.016666666666666666,0,-0.019431,0,0,-0.4479
64,20230411,0.0033333333333333335,0,0,0,0,0.0033333333333333335,0,0.002144,0,0,-0.1136
65,20230412,0,0,0,0,0,0,0,0,0,0,-0.0698
66,20230413,0,0.0033333333333333335,0,0,0,-0.0033333333333333335,0,-0.001955,0,0,-0.6909
67,20230414,0.01,0,0,0,0,0.01,0,0.008249,0,0,0.5657
68,20230417,0.0033333333333333335,0,0,0,0,0.0033333333333333335,0,0.000959,0,0,1.4024
69,20230418,0.0033333333333333335,0.0033333333333333335,0,0,0,0.0,0,-0.000183,0,0,0.3048
70,20230419,0,0.0033333333333333335,0,0,0,-0.0033333333333333335,0,-0.003575,0,0,-0.9004
71,20230420,0.01,0,0,0,0,0.01,0,0.007107,0,0,-0.2798
72,20230421,0,0.006666666666666667,0,0,0,-0.006666666666666667,0,-0.002954,0,0,-1.956
73,20230424,0.0033333333333333335,0.006666666666666667,0,0,0,-0.0033333333333333335,0,-0.0011619999999999998,0,0,-1.238
74,20230425,0.0033333333333333335,0.013333333333333334,0,0,0,-0.01,0,-0.009893,0,0,-0.5016
75,20230426,0.013333333333333334,0.016666666666666666,0,0,0,-0.0033333333333333322,0,-0.001899999999999999,0,0,-0.0866
76,20230427,0.0033333333333333335,0.006666666666666667,0,0,0,-0.0033333333333333335,-0.0033333333333333335,0.019835,-0.002461,0,0.7372
77,20230428,0.0033333333333333335,0,0,0,0,0.0033333333333333335,0,0.0021,0,0,1.0196
78,20230504,0.013333333333333334,0.006666666666666667,0,0,0,0.006666666666666667,0.0033333333333333335,0.0025000000000000005,0.0021,0,0.0288
79,20230505,0,0.0033333333333333335,0,0,0,-0.0033333333333333335,0,-0.00184,0,0,-0.3317
80,20230508,0.016666666666666666,0,0,0,0,0.016666666666666666,0,0.01739,0,0,1.1398
81,20230509,0.0033333333333333335,0.0033333333333333335,0,0,0,0.0,0,-0.0043,0,0,-0.8563
82,20230510,0,0.0033333333333333335,0,0,0,-0.0033333333333333335,0,-0.0007099999999999999,0,0,-0.7698
83,20230511,0.0033333333333333335,0,0,0,0,0.0033333333333333335,0,0.0010199999999999999,0,0,-0.1553
84,20230512,0,0,0,0,0,0,0,0,0,0,-1.3256
85,20230515,0.013333333333333334,0,0,0,0,0.013333333333333334,0,0.00979,0,0,1.5523
86,20230516,0,0,0,0,0,0,0,0,0,0,-0.5172
87,20230517,0,0,0,0,0,0,0,0,0,0,-0.4535
88,20230518,0.0033333333333333335,0,0,0,0,0.0033333333333333335,0,0.00197,0,0,-0.1034
89,20230519,0,0,0,0,0,0,0,0,0,0,-0.2914
90,20230522,0.0033333333333333335,0,0,0,0,0.0033333333333333335,0,0.00014000000000000001,0,0,0.6284
91,20230523,0,0,0,0,0,0,0,0,0,0,-1.4143
92,20230524,0,0,0,0,0,0,0,0,0,0,-1.3824
93,20230525,0.0033333333333333335,0,0,0,0,0.0033333333333333335,0,0.00329,0,0,-0.2227
94,20230526,0.0033333333333333335,0,0,0,0,0.0033333333333333335,0,0.00121,0,0,0.0117
95,20230529,0.0033333333333333335,0.0033333333333333335,0,0,0,0.0,0,-0.00136,0,0,-0.4417
96,20230530,0.0033333333333333335,0,0,0,0,0.0033333333333333335,0,0.00217,0,0,0.0994
97,20230531,0,0,0,0,0,0,0,0,0,0,-1.0217
98,20230601,0.013333333333333334,0,0,0,0,0.013333333333333334,0,0.012379999999999999,0,0,0.2191
99,20230602,0,0,0,0,0,0,0,0,0,0,1.4439
100,20230605,0,0,0,0,0,0,0,0,0,0,-0.4553
101,20230606,0,0,0,0,0,0,0,0,0,0,-0.9387
102,20230607,0,0.0033333333333333335,0,0,0,-0.0033333333333333335,0,-0.0028179999999999998,0,0,-0.4942
103,20230608,0,0,0,0,0,0,0,0,0,0,0.814
104,20230609,0.02,0,0,0,0,0.02,0,0.014162,0,0,0.4323
105,20230612,0.006666666666666667,0,0,0,0,0.006666666666666667,0,0.004671,0,0,0.2015
106,20230613,0.0033333333333333335,0,0,0,0,0.0033333333333333335,0,0.001219,0,0,0.5326
107,20230614,0,0,0,0,0,0,0,0,0,0,-0.0228
108,20230615,0.01,0,0,0,0,0.01,0,0.0062699999999999995,0,0,1.5909
109,20230616,0.0033333333333333335,0,0,0,0,0.0033333333333333335,0,0.002275,0,0,0.9642
110,20230619,0.01,0,0,0,0,0.01,0,0.009779,0,0,-0.8186
111,20230620,0.006666666666666667,0,0,0,0,0.006666666666666667,0,0.009879,0,0,-0.1697
112,20230621,0,0.006666666666666667,0,0,0,-0.006666666666666667,0,-0.003641,0,0,-1.5342
113,20230626,0.0033333333333333335,0.006666666666666667,0,0,0,-0.0033333333333333335,0,-0.005129,0,0,-1.4062
114,20230627,0.006666666666666667,0,0,0,0,0.006666666666666667,0,0.001712,0,0,0.9381
115,20230628,0,0.006666666666666667,0,0,0,-0.006666666666666667,0,-0.0060739999999999995,0,0,-0.1205
116,20230629,0,0,0,0,0,0,0,0,0,0,-0.4935
117,20230630,0.0033333333333333335,0,0,0,0,0.0033333333333333335,0,0.0013,0,0,0.5392
118,20230703,0,0.0033333333333333335,0,0,0,-0.0033333333333333335,0,-0.0025540000000000003,0,0,1.3125
119,20230704,0.01,0,0,0,0,0.01,0,0.004882,0,0,0.1575
120,20230705,0,0,0,0,0,0,0,0,0,0,-0.7748
121,20230706,0,0,0,0,0,0,0,0,0,0,-0.6734
122,20230707,0,0,0,0,0,0,0,0,0,0,-0.4438
123,20230710,0.0033333333333333335,0,0,0,0,0.0033333333333333335,0,0.001118,0,0,0.4869
124,20230711,0,0,0,0,0,0,0,0,0,0,0.6545
125,20230712,0,0.0033333333333333335,0,0,0,-0.0033333333333333335,0,-0.002549,0,0,-0.6732
126,20230713,0.0033333333333333335,0,0,0,0,0.0033333333333333335,0,0.005057000000000001,0,0,1.4306
127,20230714,0.006666666666666667,0,0,0,0,0.006666666666666667,0.0033333333333333335,0.009951000000000002,0.005057000000000001,0,0.0174
128,20230717,0,0,0,0,0,0,0,0,0,0,-0.8188
129,20230718,0,0,0,0,0,0,0,0,0,0,-0.3164
130,20230719,0,0,0,0,0,0,0,0,0,0,-0.1057
131,20230720,0,0,0,0,0,0,0,0,0,0,-0.7056
132,20230721,0.0033333333333333335,0,0,0,0,0.0033333333333333335,0,0.000898,0,0,-0.0467
133,20230724,0,0,0,0,0,0,0,0,0,0,-0.4367
134,20230725,0.02666666666666667,0,0,0,0,0.02666666666666667,0,0.017630000000000003,0,0,2.888
135,20230726,0,0,0,0,0,0,0,0,0,0,-0.207
136,20230727,0,0,0,0,0,0,0,0,0,0,-0.1195
137,20230728,0.013333333333333334,0.0033333333333333335,0,0,0,0.01,0,0.021507000000000002,0,0,2.3163
138,20230731,0,0,0,0,0,0,0,0,0,0,0.5483
139,20230801,0,0,0,0,0,0,0,0,0,0,-0.4142
140,20230802,0,0,0,0,0,0,0,0,0,0,-0.703
141,20230803,0.0033333333333333335,0,0,0,0,0.0033333333333333335,0,0.0014960000000000002,0,0,0.8839
