,trade_date,涨停比率,跌停比率,地天板比率,天地板比率,天地板比率剪刀差,涨跌停比率剪刀差,连板比率剪刀差,自由流通市值加权涨跌停比率剪刀差,自由流通市值加权连板比率剪刀差,自由流通市值加权地天与天地板比率剪刀差,pct_chg
58,20221028,0,0.013333333333333334,0,0,0,-0.013333333333333334,0,-0.016101999999999998,0,0,-2.4735
59,20221031,0.006666666666666667,0.016666666666666666,0,0,0,-0.009999999999999998,-0.0033333333333333335,-0.007932999999999999,-0.001091,0,-0.9213
60,20221101,0.03333333333333333,0,0,0,0,0.03333333333333333,0,0.032743999999999995,0,0,3.576
61,20221102,0.01,0,0,0,0,0.01,0,0.005951,0,0,1.2006
62,20221103,0.006666666666666667,0.0033333333333333335,0,0,0,0.0033333333333333335,0,0.000663,0,0,-0.8132
63,20221104,0.01,0,0,0,0,0.01,0,0.012768999999999999,0,0,3.2698
64,20221107,0,0,0,0,0,0,0,0,0,0,0.2156
65,20221108,0,0,0,0,0,0,0,0,0,0,-0.6879
66,20221109,0.0033333333333333335,0.0033333333333333335,0,0,0,0.0,0,-0.002463,0,0,-0.935
67,20221110,0.0033333333333333335,0.0033333333333333335,0,0,0,0.0,-0.0033333333333333335,-0.0007650000000000001,-0.003202,0,-0.7695
68,20221111,0.02666666666666667,0,0,0,0,0.02666666666666667,0,0.019581,0,0,2.7878
69,20221114,0.006666666666666667,0,0,0,0,0.006666666666666667,0.006666666666666667,0.002007,0.002007,0,0.1472
70,20221115,0.023333333333333334,0,0,0,0,0.023333333333333334,0,0.015156,0,0,1.8966
71,20221116,0,0,0,0,0,0,0,0,0,0,-0.8169
72,20221117,0.006666666666666667,0,0,0,0,0.006666666666666667,0,0.002424,0,0,-0.4101
73,20221118,0.01,0,0,0,0,0.01,0,0.002588,0,0,-0.4477
74,20221121,0,0,0,0,0,0,0,0,0,0,-0.8534
75,20221122,0.006666666666666667,0.0033333333333333335,0,0,0,0.0033333333333333335,0,0.00023000000000000017,0,0,0.0118
76,20221123,0.0033333333333333335,0,0,0,0,0.0033333333333333335,0.0033333333333333335,0.001439,0.001439,0,0.1049
77,20221124,0,0,0,0,0,0,0,0,0,0,-0.4431
78,20221125,0.0033333333333333335,0,0,0,0,0.0033333333333333335,0,0.003725,0,0,0.5049
79,20221128,0,0,0,0,0,0,0,0,0,0,-1.1265
80,20221129,0.02666666666666667,0,0,0,0,0.02666666666666667,0,0.026864999999999997,0,0,3.0853
81,20221130,0.006666666666666667,0,0,0,0,0.006666666666666667,0,0.00412,0,0,0.1199
82,20221201,0.0033333333333333335,0,0,0,0,0.0033333333333333335,0.0033333333333333335,0.00042,0.00042,0,1.0831
83,20221202,0,0,0,0,0,0,0,0,0,0,-0.6116
84,20221205,0.016666666666666666,0.0033333333333333335,0,0,0,0.013333333333333332,0,0.007050000000000002,0,0,1.9615
85,20221206,0,0.0033333333333333335,0,0,0,-0.0033333333333333335,0,-0.00387,0,0,0.5402
86,20221207,0,0,0,0,0,0,0,0,0,0,-0.2459
87,20221208,0,0,0,0,0,0,0,0,0,0,0.0187
88,20221209,0,0,0,0,0,0,0,0,0,0,0.9867
89,20221212,0,0,0,0,0,0,0,0,0,0,-1.1205
90,20221213,0,0,0,0,0,0,0,0,0,0,-0.1963
91,20221214,0,0,0,0,0,0,0,0,0,0,0.2333
92,20221215,0,0,0,0,0,0,0,0,0,0,-0.0733
93,20221216,0,0,0,0,0,0,0,0,0,0,0.0566
