,trade_date,涨停比率,跌停比率,地天板比率,天地板比率,天地板比率剪刀差,涨跌停比率剪刀差,连板比率剪刀差,自由流通市值加权涨跌停比率剪刀差,自由流通市值加权连板比率剪刀差,自由流通市值加权地天与天地板比率剪刀差,pct_chg
0,20091009,0.12666666666666657,0,0,0,0,0.12666666666666657,0,0.10850000000000001,0,0,5.2883
1,20091012,0,0,0,0,0,0,0,0,0,0,-0.3817
2,20091013,0,0,0,0,0,0,0,0,0,0,1.4876
3,20091014,0,0,0,0,0,0,0,0,0,0,0.903
4,20091015,0,0,0,0,0,0,0,0,0,0,0.3794
5,20091016,0,0,0,0,0,0,0,0,0,0,0.0638
6,20091019,0.016666666666666666,0,0,0,0,0.016666666666666666,0,0.013600000000000001,0,0,2.6976
7,20091020,0.006666666666666667,0,0,0,0,0.006666666666666667,0,0.0021,0,0,1.4543
8,20091021,0.0033333333333333335,0,0,0,0,0.0033333333333333335,0,0.0045000000000000005,0,0,-0.2454
9,20091022,0,0,0,0,0,0,0,0,0,0,-0.6519
10,20091023,0.01,0,0,0,0,0.01,0,0.0046,0,0,1.9697
11,20091026,0,0,0,0,0,0,0,0,0,0,0.0289
12,20091027,0,0,0,0,0,0,0,0,0,0,-2.9148
13,20091028,0,0,0,0,0,0,0,0,0,0,0.4406
14,20091029,0,0,0,0,0,0,0,0,0,0,-2.4713
15,20091030,0.0033333333333333335,0,0,0,0,0.0033333333333333335,0,0.0016,0,0,1.0262
16,20091102,0.016666666666666666,0,0,0,0,0.016666666666666666,0,0.019600000000000003,0,0,3.4274
17,20091103,0,0,0,0,0,0,0,0,0,0,1.2562
18,20091104,0.0033333333333333335,0,0,0,0,0.0033333333333333335,0,0.0008,0,0,0.5374
19,20091105,0.0033333333333333335,0,0,0,0,0.0033333333333333335,0,0.001,0,0,0.302
20,20091106,0.006666666666666667,0,0,0,0,0.006666666666666667,0,0.0034000000000000002,0,0,0.5399
21,20091109,0,0,0,0,0,0,0,0,0,0,0.3665
22,20091110,0,0,0,0,0,0,0,0,0,0,0.2285
23,20091111,0.0033333333333333335,0,0,0,0,0.0033333333333333335,0,0.002,0,0,-0.2312
